abandon,"1.freedom from constraint
formidable,requiring effort
forthright,"1. free in expressing opinions
2. going straight to the point"
fortify,give physical strength
foster,help the growth
founder,"1. one establishes
2. fail utterly"
fracas,physical dispute; noisy fight
fracture,"1. breaking
2. separate into pieces"
fragile,broken
frail,"1. weak
2. weak"
fraudulent,fraud
fraught,full
frenzy,mental agitation
fretful,vexed
far-fetched,not likely to be true
friable,easily crumbled
friction,"1. rubbing
2. clashing"
frigid,"1. cold
2. lacking warmth"
fringe,border
frivolous,"1. unbecoming levity
2. little importance"
frothy,gaily frivolous
frowsy,slovenly
frugal,economy
fungible,substituted in place of one another
full-bodied,importance
fulminate,thunderous denunciation
fumble,awkward attempts
furor,intense excitement
furtive,stealth
fury,rage
fussy,"1. involving great care
2. hard to please"
fusty,"1. old-fashioned
2. stale odors"
futile,ineffective
gadfly,provocative stimulus
gaffe,social blunder
gainsay,declare false
gall,irritate
gallant,brave; chivalrous
galvanize,stimulate; excite
gamble,bet
gambol,playfully
gag,a joke
garble,distort; misleading
gargantuan,tremendous
garish,strident color
generic,no particularly distinctive quality
garrulous,tiresomely talkative
guardian,defend
gleam,light
gauche,lacking grace
gaudy,excessively showy
gauge,"1. measurement; standard
2. determine"
gear,adjust
genial,easygoing
genteel,free from vulgarity
germane,relevant
gibe,taunting words
giddy,lacking in seriousness
gild,deceptively attractive
gist,main point
gigantic,large
glaze,coat; glaze
glib,"1. fluency; insincere; deceitful
2. lacking depth"
glisten,shine; sparkling
glitch,minor malfunction
gloat,self-satisfaction
gloomy,low; spirits
gloss,"1. brief explanation; obscure
2. too lightly"
glossy,smooth surface
glut,beyond capacity
glutinous,glue
glutton,immoderate food
goad,incite; rouse
gobble,eat greedily
goggle,look
goldbrick,shirk responsibilities
gorge,"1. canyon
2. eat greedily"
gossamer,"1. insubstantial
2. light"
grimy,not clean
gourmet,connoisseur; food
grandeur,grand
grandiloquent,extravagantly; bombastic
grandiose,grandeur
grandstand,impress
grate,"1. rasping
2. irritate"
gratify,desired; please
gratuitous,"1. unwarranted
2. without return"
green,deficient; experience
gregarious,"1. enjoy the company
2. group with others"
grieve,deep sadness
glamorous,magical power to attract
grin,express an emotion
gripe,dissatisfaction
grisly,repugnance
groove,take pleasure in
grotesque,unpleasant
grovel,draw back; fearful submission
grueling,requiring
guile,misleading
gull,untrue
glean,collect
groundless,no basis in reason
gush,exaggerated display
gust,sudden intense expression
guzzle,drink greedily
hack,"1. writer; commercial
2. irregular blows"
hackneyed,lacking; freshness; originality
halcyon,free from
hale,free from infirmity or illness
half-baked,lack of good sense or judgment
hallmark,conspicuous feature
hallow,respect
hallucination,false idea
ham-handed,lacking dexterity
hammer,repeated
hamper,restrict the movement; impede
hamstring,ineffective
hangdog,sad; dejected
hanker,desire; yearn
haphazard,"lack of plan, order, or direction"
harangue,long pompous
harass,irritate persistently
harbinger,presages
harbor,keep in one's mind
hard-bitten,able to withstand
hardy,able to withstand
harmonious,agreeably related
harness,utilize
harrow,distress; torment
harry,distress; harass
harsh,exacting
hasten,speed up; accelerate
hasty,superficial; excessive or careless speed
haunt,"1. frequent
2. obsess"
hauteur,arrogance
haven,place of safety
havoc,out of order
headlong,without deliberation
hearken,attention
hearten,"give strength, courage; encourage"
heartrending,"sorrow, distress"
hedonism,doctrine pleasure
hegemony,preponderant authority
heinous,hatefully
hew,confirm; hold to something firmly
herald,indication of beforehand
heresy,controversial or unorthodox opinion
heretical,departure standards
hermetic,abstruseness
hagiographic,overly or insincerely flattering
heterodox,unorthodox opinions
hidebound,tending to favor
hideous,ugly
hie,hasten
humbug,deceptive
hilarious,extremely funny
histrionic,dramatic
hive,"1. activity
2. store up"
hoard,keep hidden
hoary,extremely old
hoax,cause to believe untrue
hodgepodge,"mixture, dissimilar"
homage,respect
homely,not attractive
homily,admonition
homogenize,make agree with a single established standard
hone,improve
hoodwink,deceptive
hortative,exhortation
heartfelt,genuine
hubris,exaggerated ride or self-confidence
humble,"1. meekness or modesty
2.. humility or unseemly submissiveness"
hedge,avoid definite answer
humor,comply with
hurricane,resembling a hurricane
husband,use economically
husk,remove
husky,rough
hybrid,"1. mixed origin
2. parents of different races"
hymn,song of praise
hyperbole,exaggeration used for emphasis
hypnotic,cause sleep
hypocritical,not being what one appears to be
iconoclast,accepted standards
idolatrize,admires intensely
idyll,carefree episode
ignite,arouse the passions 
ignominy,lost the esteem
illiteracy,unable to read and write
illuminati,enlightened
illuminate,make plain
illusory,illusion
imbibe,take in liquid
imbroglio,complicated situation
imitation,like something else
immaculate,without fault
immanent,innermost
immaterial,no relevance
immature,lacking complete growth
immemorial,from the distant past
immune,"1. having resistence to infection
2. not affected by influence"
immure,confine
immutable,not capable of changing
impassive,no sign of feeling
impeccable,free from fault
impecunious,no money
impede,slow the progress of
impending,soon to take place
impenetrable,"1. impossible to get through
2. incapable of being comprehended"
impenitent,not regretful
imperative,"1. force one's compliance
2. needing immediate attention"
imperial,impressive in size
imperious,arrogantly domineering
impertinent,"1. not having relevance
2. insolent rudeness"
imperturbable,extremely calm
impervious,"1. not allowing entrance
2. not capable of being damaged
3. not capable of being affected"
impetuous,impulsive vehemence
impious,lacking reverence
implacable,"1. sticking to an opinion
2. not capable of being appeased"
implement,carry out
implode,collapse inward
importune,urgent manner
imposing,impressive
impostor,assumes false identity
impotent,lacking in power
imprecise,not precise
impromptu,"1. done extemporaneously
2. without previous preparation"
improvise,perform with little or no preparation
imprudent,lacking good judgement
impudent,boldness or disregard
impugn,attack as false
impuissance,lack of power
inadvertent,"1. by chance
2. unintentional lack of force"
inalienable,cannot be transferred
inane,lacking significance
inanimate,not living
inaugurate,begin
incandescent,"1. bright
2. zeal"
incantation,magic power
incarnate,constitute an embodiment
incendiary,"1. a person who stirs up
2. tending to inflame"
incense,extremely angry
inception,beginning
incessant,without interruption
inch,move slowly
inchoate,early stage
incinerate,burn to ashes
incipient,beginning to come into being
incite,provoke
inclement,"1. lacking mildness
2. unmerciful"
incogitant,inconsiderate
incongruent,not conforming
inconsequential,no significance
incontrovertible,not open to question
incorrigible,"1. incapable of being corrected
2. impossible to control"
incriminate,accuse of a crime
incubate,"1. cover and warm eggs
2. aid"
inculpate,incriminate
incursion,hostile entrance
indelible,not easily forgotten
indemnity,compensation
indict,accuse
indifferent,lack of interst
indigenous,"1. originating
2. innermost nature"
indigent,lacking money
indispensable,impossible to do without
indoctrinate,instruct
indolent,averse to activity
induce,cause
indulgent,given to indulgence
indurate,"1. a lack of sympathy
2. physically firm"
industrious,diligent
ineffable,incapable expressed
ineluctable,not to be avoided
inept,"1. lack of judgment
2. incompetent"
inert,sluggish; deficient
inevitable,incapable avoided
inexorable,not persuaded
infamous,bad reputation
infatuate,inspire with unreasoning love
incommensurate,too large or too small
infiltrate,enter surreptitiously
infinite,no boundaries
infirm,"1. weak in body
2. lacking firmness of will"
inflame,more voilent
infelicitous,"1. unfortune
2. not appropriate"
influx,coming in
infuriate,make furious
infuse,fill
ingenious,"resourcefulness, cleverness"
intermediary,bring about an agreement
ingenuous,lacking cunning
ingest,take into body
ingrained,firmly established
ingratiating,"1. winning favor
2. gain favor"
inherent,essential
inimical,hostility
inimitable,not imitated
iniquity,immorality injustice
initiate,cause beginning
inkling,slight indication
innocuous,"1. not jury
2. not arouse"
innovative,introducing innovations
inquisitive,inordinately
insensible,lost consciousness
inconsistent,not being in agreement
insentient,"1. lacking perception
2. not having a deep understanding"
inconclusive,not certainly true
insipid,lacking interest
insolent,rude
insouciant,free from concern
instate,establish rank
instigate,urge forward; stir up
instill,impart 
institute,eatablish
insubordinate,not submissive
insular,narrow provincial viewpoint
insulate,detached situation
insurgent,opposes authority
intangible,incapable perceived
integral,not lacking any part
integrity,"1. adherence moral
2. being whole"
intelligible,being understood
intemperate,not temperate
intensify,make intense
inter,place in grave
intercessor,mediates
interdict,forbid
interim,"1. time between event
2. for the time being"
interlock,joined closely
interminable,no end
intermittent,not continuous
interregnum,break
interrogate,question formally
intimate,"1. close association
2. communicate"
intimidate,frighten
intoxicant,intoxicates
intransigent,refusal to compromise
intrepid,resolute fearlessness
intrigue,"1. secret plan
2. arouse curiosity"
intrinsic,essential
intuitive,by intuition
inundate,cover with flood
inure,accustom
invective,characterized by insult
inveigh,protest vehemently
inveigle,win over by coaxing
inventory,short statement
inveterate,firmly established
invidious,"1. cause discontent
2. resentment of another's possessions"
invigorate,impart vigor
invincible,incapable conquered
invoke,"1. put into effect
2. be the cause"
irascible,easily provoked anger
irate,extremely angry
iridescent,lustrous colors
irk,irritating
ironclad,unbreakable
irradicable,impossible destroy
itinerant,traveling from place to place
irrigate,"1. supply water
2. flush"
irritate,provoke anger
issue,"1. matter that is in dispute
2. flow out"
jabber,"talk rapidly, indistinctly"
jaded,having patience exhausted
jape,mockingly
jargon,specialized or technical language
jarring,discordant
jaundice,bias
jaunty,sprightly
jejune,not interesting
jettison,get rid of
jeopardy,risk of danger
jest,frivolous
jibe,agree
jingoist,extreme nationalism; belligerent
jitters,panic; nervouness
jocular,"joking, playful"
jocund,sprightly and lighthearted
jog,rouse
jolt,unpleasant surprise
jot,write briefly
jovial,good-humored by jollity and conviviality
jubilant,joyful
judicious,judgement; prudent
juggernaut,overwhelming force
ken,vision
kidnap,detain by unlawful force
kindle,set fire; ignite
kindred,"similar, origin"
knack,clever
kilter,fitness
knit,join closely
knotty,full of difficulties and complications
kudos,"1. fame
2. acclaim or praise"
labile,unstable
laborious,"1. industrious
2. long, hard work"
labyrinth,extremely complex in structure
lacerate,cause pain
lackluster,lacking brightness
lachrymose,mournful
laconic,minimum of words; concise
lambaste,scold sharply
lament,express sorrow
libelous,libel
lampoon,harsh satire
languid,lacking energy
languish,become feeble
languor,"1. inertness
2. weakness, weariness"
lank,"1. long and lean
2. not stiff; limp"
lapse,slight error
largesse,liberality
lash,strike with force
lassitude,diminished energy
latent,"potential, not evident"
latitude,freedom
laudatory,praise
lavish,"1. extravagance and profusion
2. give readily"
leaven,"mingle, permeate"
leer,sidelong
leery,suspicious
legacy,handed down from an ancestor
lucrative,profit
legion,numerous
lenient,merciful
lethal,extremely harmful
lethargic,sluggish
levelheaded,sensible
levity,frivolity
liability,liable
liberal,"1.not bound
2.generosity"
libertine,without moral restraint
licentious,lacking restraint
liken,show as similar
limber,flexible
limp,lacking firm
limpid,transparent clearness
linger,proceed slowly
lissome,"1.easily bent
2.move with ease"
list,at an angle
lithe,"1.grace
2.easily bent"
loath,reluctant
loathe,dislike
lofty,"1.elevated
2.superiority"
loll,doing nothing
lopsided,lacking in balance
loquacious,excessive talk
loutish,"awkward,stupid,and boorish"
lubricate,reduce friction
lucid,easily understood
lug,laboriously
lugubrious,mournful
lull,"1.momentary halt
2.free from distress"
lullaby,free from distress
lumber,"1.clumsiness
2.burden"
luminary,eminence
lurch,swaying
lurk,lie in wait
lush,producing abundantly
lustrous,shiny
luxurious,excessive gratification
lyric,suggestive of poetry or music
macabre,horror of death
macerate,soaking or steeping
maculate,spot
maelstrom,turbulent
magnificent,impressive
maladroit,lack of nimbleness
malaise,bodily discomfort
malcontent,"1.opposition
2.dissatisfied"
malicious,deliberately harmful
malign,"1.cause suffering
2.utter injuriously"
malinger,pretend illness
malleable,"1.capable of being shaped
2.capable of being controlled"
malodorous,unpleasant smell
mandatory,forcing compliance
mangle,ruin
mangy,contemptible
mania,intense enthusiasm
manifest,"1.understanding
2.make evident"
manipulate,deviously
mannered,artificial
manumit,release from slavery
manuscript,written by hand
mar,impair
malfeasance,illegal behavior
martinet,strict
marvel,"1.surprise,admiration,or wonder
2.feel amazement"
mash,puply mass
masquerade,"1.display insincere
2.disguise"
mastery,great skill
matriculate,adimit or be admitted
maudlin,tearfully sentimental
maven,experienced
maverick,"1.dose not conform
2.deviating"
mawkish,sentimental
meager,deficient
mean,"1.ignoble
2.sharing little"
meander,aimlessly and idly
measly,small
measured,calculated
meddle,intrude
mediate,bring about an agreement
mediocre,moderate
medley,mixture
meek,submissive
meet,very proper
mellifluous,smooth and sweet
melodramatic,exaggeratedly emotional
menace,intention to harm
mendacious,lies
mentor,give advice
mercenary,monetary or material gain
mercurial,changeableness of mood
merited,what is called for
mesh,catch
mesmeric,attracting
metamorphose,change
metaphysical,"1.idea
2.beyond universe"
meteoric,brevity
methodical,systematic order
meticulous,extreme or excessive care
mettle,"1.strength of spirit
2.stamina"
miff,annoyed
migratory,moving from one region to another
milk,coerce profit
mime,model
mimic,"1.in appearance
2.model"
minatory,a sign of evil
ministration,aiding
mingle,mix
minimize,"1.reduce to smallest
2.underestimate"
mint,unmarred
minuscule,very small
minute,"1.carefully scrutiny
2.of small important"
minutiae,minor detail
mirage,illusory
mire,"1.difficult situation
2.hold back"
mirth,gladness
misanthropic,deep distrust of human
misbehaving,childish misbehavior
mischievous,naughty teasing
misconstrue,mistake
miscreant,behaves criminally
misdemeanour,crime less serious
miserly,penuriousness
manacle,confine or restrain
misgiving,doubt
mishap,unfortunate
misrepresent,give misleading representation
mite,small object
mitigate,less severe
majestic,impressively beautiful
mockery,"1.ridicule
2.derisive,imitation"
moderate,"1.lessen intensity
2.within limits"
modicum,small portion
mollify,calm
mollycoddle,excessive indulgence
molt,shed feathers
momentous,utmost importance
momentum,impetus
mongrel,mixed origin
monochromatic,lacking variety
monologue,by one actor
monotonous,tediously unvarying
montage,collection
moratorium,suspension
morbid,"1.by disease
2.unwholesome thoughts"
mordant,biting caustic
moribund,obsolete
morose,slluen gloomy
mosaic,collection
monolithic,"single, uniform"
moth-eaten,passed its time
motile,movement
motivate,provide incentive
motley,variety
mottle,mark spots
multifarious,many and various
mournful,expressing sorrow
metaphor,used to refer to another thing similar
muddy,"1.lacking clarity
2.make unclear"
muffle,deaden the sound
mulish,obstinate
mumble,utter confused
mundane,commonplace
munificent,liberal in giving
murky,lacking clarity
murmur,grumble
mutate,undergo mutation
mute,refraining from speech
mutter,murmur complainingly
myopic,lack of foresight
myriad,indefinite number
nadir,lowest point
naive,lacking wordly experience
narcissistic,undue fascination with oneself
nascent,recently come into existence
natty,tidy
nauseate,cause disgust
nautical,water
naysay,"oppose,deny"
nebulous,indistinct
needy,impoverished
nefarious,wicked
negation,opposite
negligent,failing care
negotiate,by mutual agreement
neophyte,beginner
nerve,"1.power of endurance
2.give courage"
nettle,arouse anger
neutralize,make inoperative or ineffective
nexus,"1.connection
2.greatest importance"
nibble,small bites
nicety,careful details
nil,nothing
nip,"1.small amount
2.in small amount"
nitpick,criticize
nocturnal,in the night
noisome,"1.offensive smell
2.objectionable"
nomad,no fixed residence
nominal,unimportant
nonchalant,indifference
nondescript,lacking distinctive or interesting
nonentity,little consequence
nonplus,perplex
numinous,supernatural and mysterious
notch,obtain
novel,new
noxious,"1.harmful;injurious to health
2.causing intense displeasure"
nuance,subtle distinction
nudge,persuade
nugatory,consequence;inconsequential
nurture,provide with understanding
obtrusive,noticeable in an unpleasant
obdurate,"1.resistant influence
2.lack of sympathy"
obedient,submissive authority
obeisance,"respect,submission"
obfuscate,confused opaque
obligatory,compulsory
obliging,do favors
oblique,inclined or twisted
obliterate,remove
oblivious,lacking awarness;not informed
obloquy,abusively language
obscure,"1.not clearly veiled or uncertain meaning
2.famous"
obsequious,fawning attentiveness
obsess,haunt
obstinate,in spite of persuasion
obstreperous,unruly
obstruct,"impede,create difficulty"
obtuse,absorb ideas readily
obviate,unnecessary
occult,not easily apprehended
odium,strong dislike
offbeat,different from generally found
offhand,without premeditation
officious,thrusting oneself
offish,aloof
off-key,out of accord with
ominous,omen evil
omniscient,complete knowledge
onerous,"required much time,effort"
opaque,obscure
opine,express opinions
opportune,convenient
opprobrious,"1.reproach
2.infamous"
outrageous,"1.exceeding the limits
2.bad or horrible"
orient,determinate position;make familiar
original,"1.creative
2.before"
orthodox,"established form,custom,or rules"
oscillate,vary
ossify,hardened conventional and opposed to change
ostentatious,conspicuous pretentious
ostracize,exclude
oust,drive out
overweening,"feeling of superiority,overbearing"
outlandish,out of ordinary;bizarre
outmaneuver,overcome
outset,beginning
outwit,surpass cunning
overbearing,arrogant
overlap,same area
overt,open
overture,"1.introductory prelude
2.opera"
oxymoron,combination contradictory
pacify,ease the anger
padding,go beyond the facts
paean,"joyous song,praise"
painstaking,diligent care
palatable,pleasure or contentment
palatial,ornateness
pall,interest attraction
palliate,"less severe,intense"
pallid,"1.lacking radiance,vitality
2.pale"
palmy,prosperity
palpable,obvious
palter,"insincerely,deceitfully"
paltry,important
pan,harsh criticism
panache,flamboyance
pandemic,widespread
pandemonium,noise
panegyric,eulogistic
panoramic,complete view
provenance,"origin, source"
paradigm,pattern
paradise,pleasurable emotion
paradox,opposed to common sense
paragon,"1.example
2.compare"
paramount,chief importance
paranoid,extreme fear or distrust
paraphrase,in different words
parch,dry
parenthesis,interruption
pariah,despised or rejected
parity,being equal
parody,"1.imitated for
2.copy"
paroxysm,disturbance
parrot,"imitate,without understanding"
parry,evade
parsimonious,stinginess
partial,"1.biased
2.lacking"
particularize,give details
partisan,one side
pastiche,"1.with satirical intent
2.hodgepodge"
partition,dividing
patent,"1.readily visible
2.an official right only allowed to make or sell"
pathological,markedly abnormal
patina,"1.superficial
2.appearance or aura"
patrician,"1. a man of high birth
2. of high birth"
patriot,one who loves his country
patronize,provide aid
paucity,dearth
province,field of activity or authority
peck,"1. a considerable amount
2. eat in small bites"
pedagogue,a person who giving formal instruction
pedant,one to sticks to formal rules
predestine,in advance
pedestrian,causing weariness
peep,a brief look
peer,"n. a person who has equal standing with others
v. look narrowly"
peeve,disdurb the peace of mind
pejorative,disparaging
pellucid,transparently clear
plaintive,expressing suffering
polymath,encyclopedic learning
penchant,a strong inclination
penitent,regretful
pensive,marked by sad thinking
penury,"1. extreme dearth
2. extreme frigality"
perambulate,travel over
perceptible,being perceived
peremptory,"1. not allowing controdiction
2. having a feeling of superiority"
parochial,not broad
perfidy,disloyal
perforate,make a hole through
perfunctory,routine and supreficial
perimeter,the outer limit
periodical,occuring at regular intervals
peripatetic,walking from place to place
peripheral,available to supply
perish,cease to exist
permanent,continuing or enduring
permeable,capable of being penetrated
permeate,spread throughout
pernicious,highly injurious
patchwork,mixture of various things
perpetual,continuing forever
persecute,cause suffering to
persiflage,teasing
persistence,lasting existence
personable,attractive
perspicacious,showing mental discernment
perspicuity,clearness and lucidity
pertain,have a relation
pertinacious,sticking to an opinion
pertinent,having a clear relevance
penance,regret
peruse,examine with great care
pervade,be present throughout
pessimistic,taking the gloomist possible view
petition,"1. a solumn request
2. make a request"
petrify,become stiff
petty,of small importance
phenomenal,being out of the ordinary
philanthropic,showing a concern for the welfare of others
philistine,a person guided by materialism
phlegmatic,"having a calm, sluggish temperament"
piddling,so trifling or trivial
piebald,consisting of different colors
pigment,"1. a subsance that imparts a color
2. to color with"
pilfer,steal
precocious,before the usual
pillory,expose to public contempt
pilot,"1. seving as a tentative model
2. lead over a difficult course"
pine,yearn intensely
pinnacle,the highest point
pinpoint,"1. located with extreme precision
2. identify with precision"
piquant,provocative
pique,excite or arouse
pirate,take without actual right
pithy,forceful and brief
pitiless,devoid of pity
pittance,a small portion
placate,lessen the anger
placebo,something used to appease another
plagiarize,steal
plangent,plaintive
plastic,susceptible of being modified
plateau,"1. raised above area or land
2. a stable level"
platitude,a banal statement
plausible, reasonable
plague,"1. a widespread disease
2. cause persistent suffering"
plethora,excess
pliable,"1. suppple
2. easily influenced"
pliant,"1. easily bent
2. yielding to influence"
plight,an unfortunate situation
plodding,dull and monotonous
pluck,resourceful courage
plumb,"1. having no exceptions
2. examine closely"
plummet,decline suddenly
plump,"1. well-rounded
2. give full support"
plunge,descend suddenly
polarize,break up into opposing factions
polemic,a controversial argument
polished,showing a high degree of refinement
politic,suitably tactical
polymath,a person of encyclopedic learning
pompous,"1. excessively ornate
2. having self-importance"
ponderable,considerable enough to be weighed
ponderous,of great weight
pontificate,speak in a pompous way
pore,read or study attentively
porous,admitting the passage of liquid
portentous,showing a sign of evil
poseur,an affected or insincere person
posit,assume the existence of
postulate,"1. something used as a starting point
2. assume as true"
posture,assume a pretended attitude
potable,"1. a beverage
2. suitable for drinking"
potentate,one who has the power
potentiate,make more active
pout,show displeasure
practitioner,one who practice a profession
premium,of superior high quality
prate,talk idly
preach,deliever a sermon
precarious,"1. lacking in security
2. cause to happen"
precedent,"1. an earlier occurrence
2. cause to happen"
ploy,a clever often underhanded means
precipitate,"1. acting with careless speed
2. cause to happen"
precipitation,"1. disorderly speed
2. a deposit"
precipitous,"1. very steep
2. acting with careless speed"
preclude,make impossible in advance
precursor,one that precedes the approach of another
predecessor,a person who has previous occupied a position
predilection,a disposition in favor of something
preeminent,having paramount rank
preempt,seize before others
preen,dress oneself with elaborate care
preface,a preliminary statement
pregnant,full of meaning
premeditate,think about beforehand
preoccupation,extreme concern with something
preponderant,having superior importance
prepossessing,serving to impress favorably
preposterous,contrary to common sense
presage,"1. a warning of future event
2. foretell or predict"
prescience,knowledge of actions before they occur
prescription,"1. a written message from a doctor
2. something prescribed as a rule"
primitive,belonging to an early level
prestige,the level of respect
presumptuous,having a feeling of superiority
pretense,"1. the act of pretending
2. an exaggerated sense of one's importance"
preternatural,surpassing the usual
prognosis,a declaration that something will happen in the future
prevalent,commonly accepted
prevaricate,evade the truth
primordial,happening first
primp,adorn
peddle,sell
pristine,remaining in a pure state
privation,lack of what is needed for existence
probe,a penetrating investigation
probity,high moral standards
proclivity,a naturak inclination
procrastinate,put off
procure,get possession of 
prod,try to persuade
prodigal,"1. reckless spendthrift
2. someone who spends money freely"
prodigious,"1. enormous
2. causing astounishmeny"
profane,treat with abuse
proffer,offer
proficient,marked by an advanced degree of competence
profligate,"1. recklessly wasteful
2. people who spend money freely"
pushover,something that is easy to do
profusion,abundance
prohibitive,discourage purhcase
proliferate,grow or multiply rapidly
prolix,tending to speak at excessive length
prologue,the preface
prolong,lengthen in extent
promulgate,make known
proofread,find errors
propagate,spread out
propensity,a natural inclination
prophetic,foretelling
propitiate,appease
propitious,favorably disposed
proponent,supporter
propriety,the quality of being suitable or fitting
prosaic,being in the normal course of events
proscribe,forbid
prosecution,the doing of an action
proselytize,change riligious faith
prospect,go into discovery
prosperous,marked by vigorous growth
prostrate,"1. lying flat
2. reduce to extreme weakness"
protean,versatile
protocol,a code of correct conduct
protract,prolong
protrude,project
protuberant,thrusting out
provident,"1. frugal
2. showing awareness for the future"
providential,happeing as divine intervention
provincial,limited in perspective
provisional,temporary
provisory,conditional
provoke,"1.incite anger
2.stir feeling"
prowess,courage
prowl,roam through
prude,greatly concerned with seemly behavior and morality
prudent,"1.wise
2.circumspection"
prudish,prudery
prune,cut off
pry,inquire closely
pseudonym,fictitious name
putative,regarded as such
pecuniary,money
puckish,mischievous
puerile,immature
puissance,power
pulchritude,beauty
pulverize,crush to dust
permeate,spread throughout
punctilious,attentive to details
pundit,who gives authoritive opinions
pungent,use of wit to cause hurt feelings
puny,weak
purport,state as a fact
purlieu,"1.place for socializing
2.adjoining region"
purloin,steal
purvey,supply
pusillanimous,timidity
quack,pretender
quaff,drink heartily
quail,cower
qualify,"1.reduce
2.make competent"
quandary,perplexity
quarantine,isolation
qualm,uneasy feeling
quash,put a stop to
quirky,different from the ordinary
quell,"1.suppress
2.pacify"
quench,"1.put out
2.put a complete end to"
querulous,complaining
quibble,cavil
quiescent,inactive
quixotic,more by ideals than by reality
quota,poroportional
quotidian,commonplace
rabble,disorganized corwd of people
rabid,fanatical
racy,vigorous
raffish,crudeness
recapitulate,make into a short statement
rage,violent anger
ragged,not smooth
rail,revile or scold
rakish,lowered moral character
ramble,talk without a topic
rambunctious,noisy
ramshackle,ready to collapse
rancor,ill will
random,lacking pattern
rankle,cause anger
rant,angry scolding
rapacious,covetous
rapport,friendly relationship
rapprochement,cordial relations
rapscallion,evil
rapt,pleasurable emotion
rarefy,make rare
rash,lack caution
raspy,harsh
ratify,official acceptance
ratiocination,thought processes
ration,share or portion
rational,based on reasoning
rave,"1.exaggerated display of affection
2.talk as if in delirium"
ravel,"1.separate strands
2.clarify by separating
3.tangle"
ravish,overcome with emotion
raze,destroy completely
row,expression of differing opinions
reactionary,opposition to progress
ream,criticize
ramification,result
reassure,restore to confidence
rebuff,reject
recalcitrant,recalcitrant
recant,recant
recessive,not confotable around people
recidivate,return to criminal habits
reciprocate,return
reckless,careless
recluse,withdrawal from society
recoil,shrink back
reconcile,harmony
recondite,difficult to comprehend
reconnoiter,make a preliminary inspection
reconstitute,restore by adding water
repentant,feeling sorrow
rectitude,moral integrity
recumbent,lying down
recuperate,revcover health
redolent,fragrance
redoubtable,"1.worthy of respect
2.arousing fear"
redundant,exceeding necessary
reel,from being twirled around
referee,impartially resolves a dispute
refine,improve or perfect 
reflect,"1.make manifest
2.think seriously"
refractory,resisting control
refulgent,shining radiantly
refute,declare not to be true
regenerate,bring back to life
regimen,lawful control
regress,worse
rehabilitate,restore to healthy condition
rehearsal,practicing in preparation
reign,be predominant
rein,keep with certain boundaries
reiterate,state again
rejoice,feel joy
relapse,fall back
rehash,present again
relentless,"1.no abatement of sverity
2.yielding in one's purpose"
relevant,having connection
reminiscent,provoking a memory
relinquish,give up
relish,appreciation or liking
reluctant,showing unwillingness
remiss,carelessness
resent,angry or upset
remonstrance,expression of protest
remorse,better regret
remunerate,pay
rend,tear or split apart
renegade,allegiance
renounce,give up
renovate,restore
repartee,good-natured teasing
repatriate,return to the country
