abandon,"1.freedom from constraint
repeal,rescind or annul 
repel,cause aversion
repertoire,complete list
repine,"1.express discontent
2.long for"
replete,prossessing with great numbers of something
repose,"1.take a rest
2.freedom from storm"
reprehend,express unfavorable opinion
repress,"1.put down by force
2.prevent expression"
reprieve,postpone or cancel punishment
reproach,express criticism
reprobate,unprincipled person
reproof,cirticism
reprove,scold gently
repudiate,declare not the be ture
repugnant,arousing aversion
repulse,reject with denial
repute,good reputation
requite,"1.make repayment
2.punish in kind"
requisite,necessary
rescind,make void
reserved,restrained
residue,remains
resign,give up office
resilience,ability to recover quickly
resolute,firm dtermination
resonant,strong in tone
resourceful,act imaginatively
respite,rest
retroactive,extending in effect to a prior time
resplendent,brilliantly
responsive,quick to respond
restive,imaptience or uneasiness
restless,lack of quiet
revelation,making known
resurgence,restoration
resuscitate,restore consciousness
retainer,service
retaliate,pay back
retard,cause slowly
repetitious,repeated many times
reticent,inclined to be silent
retort,quick reply
retouch,improve
retract,take back
retrench,curtail expenses 
retribution,reward or punishment
retrograde,moving backward
retrospective,looking back
revel,take intense pleasure
revenge,retaliation
revere,repect 
resonate,beneficial to the health
revive,active again
revoke,annul
revolt,fill with disgust
ribald,vulgar
rickety,lacking stability
restorative,beneficial to the health
ridicule,make fun
rife,great numbers
rift,break 
rile,make agitated
ripen,make ripe
riot,publie violence
rite,prescribed form
rive,tear apart
riveting,"absorbing,engrossing"
renaissance,becomes popular again
robust,full of strength
roil,displease
rosy,inspire hope
rookie,recruit
rote,using routine or repetition
rationale,explain
rouse,"1.stir up
2.stop sleeping"
royalty,"1.regal character
2.payment"
rubicund,healthy rosiness
rudimentary,"1.earliest development
2.first principles"
rue,feeling of regret
ruffle,"1.destroy smoothness
2.disturb"
ruminate,go over in the mind
rumple,undo the proper order
revision,making different
runic,mysterious
rupture,part
ruse,subterfuge
rustic,"1.awkward or simple person
2.open areas with few buildings
3.lacking polish"
rustle,move or act with speed
sabotage,"1.hinder a cause
2.practice sabotage
"
saccharine,"1.sugar
2.appealing to the emotions
"
sacrilege,profanation
saddle,load
safeguard,"1.prevent accident
2.make safe
"
sage,wisdom
salient,conspicuously
salubrious,promoting health
salutary,"1.promoting health
2.promoting
"
salutation,praise
salvage,save from loss
salve,assuage
sanctify,make holy
sanctimonious,hypocritically pious
sanction,make valid
sanctuary,protection
showcase,exhibit in an attractive aseptic
sanguine,free from doubt
sanitary,health
sap,"1.weaken energy,vitality
2.active strength
"
sapient,deep understanding and intelligent
sarcasm,ironic
sartorial,clothes
sate,satisfy fully
satiate,satisfy fully
scandalous,disgust
satirize,ridicule
saturate,wet thoroughly
saturnine,lacking in cheer
saunter,by foot
savant,learning
savory,pleasure or contentment
savvy,"1.knowledge actually doing
2.practical cleverness or judgment"
scads,large number
scant,scarcely
scathing,cause hurt feelings
schism,lack of agreement
scintillate,sparks
seditious,excite political disorder
scission,division
scoff,derision:mock
scorch,burn make dry
scorn,"reject,contemptible"
scotch,put an end to
scour,to find or discover
scowl,expression displeasure
scrappy,aggressive
scrap,get rid of
scrawl,carelessly
scribble,meaningless
scrupulous,"1.principled
2.great care and effort
"
scrutable,"understood,comprehensible"
scrutinize,"observe,great care"
scuff,roughened by wear
scurrilous,vulgar
scurvy,contemptible
seamy,"sordid,base"
secluded,hidden
secrete,"1.conceal
2.generate"
sedate,free from agitation
sedentary,not migratory
seduce,persuade
sedulous,careful perseverance
seemly,following the established traditions
segment,separate
self-abasement,humiliation
self-absorbed,absorbed in one's own
seminal,creative
sensation,intense interest
sift,examine
showmanship,dramatically effective presentation
sepulchral,lacking the cheer
septic,putrefaction
sequela,secondary resuly
sequester,segregate
sere,dried withered
serendipity,by accident
serene,free from uproar
sermon,public speech
serpentine,winding
self-defeating,causing more problems
serried,little space
servile,"submissive,abject"
shifty,deceitful character
shackle,"1.restrictions
2.create difficulty
"
shadow,"1.secretly,trail
2.gloomy"
sham,"1.present a false appearance
2.fake"
stale,so often as to be dull
shiftless,lacking ambition
shipshape,order
shirk,keep away from
shoal,little depth
shopworn,worn-out
shred,small amount
shrewd,cleverness or judgement
shrink,reduced
shroud,shut off from sight
shrug,dismiss
shun,keep away
sidestep,avoid having to comply with
signal,"1.standing above
2.direct or notify
"
simpleton,lacking in common sense
simulate,take on the appearance
self-perpetuating,"continuing without ant external intervention
"
sensuality,pursuit of fleshly pleasures
sinecure,requires little or no work
sinew,vigorous strength
singe,burn superficially
sinuous,irregular curves
snag,difficulty
sacrosanct,most sacred
scourge,source of harm
skimp,"1.less plentiful
2.give insufficient funds"
scruple,unseasy feeling about the rightness
skirt,go around
slack,"1.not tightly fastened
2.failing to give proper care
"
slake,satisfy
slant,"1.way of looking
2.slanting direction"
slate,put on a list
slew,large amount
slight,"1.deficient in weight
2.treat with disdain
3.fail to give proper attention"
sling,send through the air
slippery,"1.slide
2.not precise in meaning"
slipshod,"indifference to exactness,precision,and accuracy"
sloppy,"1.lacking neatness
2.lacking in order"
sloth,disinclination to action
slouch,move slowly
slovenly,lacking neatness
sluggard,lazy person
sluggish,slow in movement
slumber,sleep
slur,"1.mark of guilt
2.without due,considerat"
sly,clever or cunning
smarmy,hypocritically earnest
skullduggery,use of cleber underhanded actions
smattering,small amount
smirk,offensively self-satisfied
smother,refrain
smug,opinion of oneself
smuggling,importation or exportation contrary to the law
snare,"1.catches and holds
2.capture by"
snarl,twist
sneer,scornful
snobbish,offensive air of superiority
snub,contempt or neglect
soak,make thoroughly wet
sober,"1.seriousness
2.restraint"
sodden,"1.penetrated by water
2.wet thoroughly"
solace,"1.comfort in sorrow
2.console"
solder,unite
solemnity,solemn
solicitous,happiness of others
solid,sound reasoning
soliloquy,without addressing a listener
solitude,being alone
solvent,"1.able to pay debets
2.another substance is dissolved"
somatic,of the body
somber,lacking in cheer
somnolence,needing sleep
slapdash,careless
soothe,bring comfort
sop,"1.placate or soothe
2.wet thoroughly"
sophism,deceptive argumentation
sophisticated,"1.worldly knowledge or refinement
2.complex"
soporific,"1.induces sleep
2.cause sleep"
sordid,"1.not clean
2.baseness"
sound,"1.withstand stress without structural damage
2.free from injury
3.valid reasoning"
sparse,less plentiful
spartan,simplicity
spat,quarrel
spate,large number
sleek,attractive
specious,false look of truth
speck,small amount
spectator,watches
spectrum,sequence or range
speculate,take to be true
spendthrift,"1.spends improvidently
2.spending money freely
"
spent,"1. drained of energy
2. no longer useful"
slump,decline suddenly
spiny,requiring exceptional skill
spleen,anger or ill will
splice,unite
spontaneous,without appearent thought
spoof,exaggerates for comic effect
sporadic,not often occurring
sprawl,irregularly 
sprightly,full of vitality
spur,"1. arouses action
2. incite"
spurious,lacking authenticity
spurn,reject with distain
sanity,healthy condition
squalid,dirty
squall,scream
squander,spend wastefully
squat,broad in build and short in stature
soft-pedal,reduce
squelch,stop by force
secede,withdraw from an organization
stalwart,firm and resolute
stamina,moral strength
stammer,speak with pauses
startle,frighten or surprise
static,lack of movement
stature,".1. height
2. quality or status"
steadfast,firm in brief
stealth,not to attract attention
steep,"1. approaching perpendicular
2. beyond limit"
stench,foul odor
stentorian,loud
sterile,"1. not productive
2. free from bacteria"
stickler,insist on exactness
stiff,"1. lacking suppleness
2. requiring effort"
stifle,hold back
stigma,mark of shame
stint,be frugal
stingy,unwilling to share
sequel,result
stipulate,specify agreement
stitch,sharp unpleasant sensation
stock,commonly used
sectarian,not broad
stodgy,dull
stoke,make greater
stoic,unaffected by pleasure or pain
stolid,little emotion
stomach,bear
stonewall,"uncooperative, obstructive"
stouthearted,stout spirit
stratagem,deceiving
sonorous,conspicuously full and rich 
strand,leave in a unfavorable place
stratify, devide into classes
stray,lacking purpose
strenuous,"1. vigorously active
2. requiring considerable effort "
striate,mark with striations
stricture,criticism
soothsayer,predicts future
strident,harsh sound
strike,"1. force or violence
2. deliver a blow
3. violent action
4. forceful contact
"
stringent,marked by rigor
strip,remove clothing
strut,walk pompous
spike,vigor
stultify,render futile
stupor,suspended sense
stunt,hinder growth
sturdy,strength
stygian,extremely dark
stymie,present an obstacle
subdue,conquer
subject,under the influence
subjugate,bring under control
sublime,high moral
subliminal,below perception
submerge,under water
submissive,submitting
subordinate,"1. lower rank
2. under one's control"
subservient,obsequiously
subside,tend downward
subsidiary,secondary importance
subsidy,monetary
substantial,considerable in importance
substantiate,support with proof
substantive,relating to the essence
subterfuge,deception to conceal
subtle,difficult to perceive
subvert,overturn
succinct,"clear, precise"
succor,aid
suffocate,deprive of oxygen
suffuse,spread through
sulk,resentment
sullen,lacking in cheer
secular,worldly or temporal
summit,highest point
summon,call together
sumptuous,extremely luxurious
sunder,break apart
supercilious,haughty
superficial,lacking depth
superfluous,exceeding sufficient
stagnant,not advancing
supine,lethargy indifference
supple,bent; pliant
supplant,usurp the place of
supplement,complete for a deficiency 
supplicate,make a request in earnest or urgent manner
supposition,little or no evidence
suppress,"1. put a stop to force
2. exclude"
surcharge,charge much
surfeit,supply excess
surrender,give over to
surreptitious,escape being observed
susceptible,likely to meet with harm
suspend,bring to a formal close
suture,joining
svelte,slim
swagger,boast
swear,"1. curse
2. oath"
sweltering,hot
swerve,turn aside abruptly
sterling,best kind
swindle,cheat
sybarite,devoted luxury
sycophant,flatter
syllabus,summary
syllogism,reasoning; deduction
symbiosis,living together
symmetry,balanced proportions
synchronous,identical period and phase
synergic,cooperating
synonymous,"same, similar meaning"
synopsis,outline; abstract or a summary
synthesis,combination
tacit,implied but not actually expressed
taciturn,disinclined to talk
tackle,start work
tact,keen sense; maintain good relations
tactile,touch; tangible
tactless,inconsiderate or indiscreet
tilt,"1. at an angle
2. being positioned at an angle"
taint,morally bad
tamper,mischievously
tangent,irrelevant
tangible,capable of being perceived
tangy,powerfully stimulating
tantalize,excite
tantamount,equivalent
tantrum,bad temper
taper,diminish gradually
tardy,slowly
tarnish,morally bad
tasty,pleasure or contentment 
tatty,shabby
taunt,challenge; jeer at
taut,not loose
tawdry,gaudy
taxing,"requiring much time, effort"
tedious,tiresome; dullness;boring
teeter,"1. unsteadily
2. uncertainty"
teetotalism,abstinence from alcoholic
telling,effective
temerity,foolhardy; recklessness
temporize,act evasively
temperate,"1. avoiding extremes
2. restraint"
tempestuous,sudden or violent
tenable,capable of being defended; reasonable
tenacious,persistent
tendentious,biased
tender,"1. offer
2. sympathy, consideration"
tenuous,little substance
tepid,little or no interest
terminology,special terms or expressions
terminus,end
traumatic,cause psychological damage
terse, brief
testimony,authentication
testy,easily annoyed; irritable
tether,fasten or restrain
theatrical,"exaggerated, unnatural"
therapeutic,treatment of disease
thorny,difficulties
threadbare,hackneyed
throng,crowed in great numbers
thwart,oppose
ticklish,"1. easily offended
2. exceptional skill or caution"
tiff,petty quarrel
tightfisted,stingy
timeworn,hackneyed
timid,lacking courage or self-confidence
timorous,fearful
tinge,tint
tinker,thoughtlessly
truism,used by many people
tirade,"angry, of censorious or denunciatory"
toady,"flatters, gaining favors"
tonic,stimulating vigor; beneficial
topsy-turvy,lacking in order
torpid,lacking in sensation
torpor,"1. lack of interest
2. inertness"
torrential,rapidstreams
torrid,"1. intensely hot
2. great depth of feeling"
tortuous,indirect
tout,praise
toy,handle thoughtlessly
tractable,giving in
tranquility,freedom from storm
transcend,beyond the limits
transfigure,alter appearance; transform
transgress,fail to keep; commit an offense
transient,transitory
transitory,lasting only a short time
translucent,permitting passage of light; transparent
transparent,not subject to misinterpretation
travail,arduous
traverse,pass across
travesty,exaggerated imitation
treacherous,betrayal
trenchant,articulate
trepidation,apprehension
trespass,enter unlawfully; offense
tribute,declaration; gratitude
trickle,fail in drops
trite,hackneyed
trivial,little importance
truant,shirking responsibility; shirks duty
truce,suspension of fighting
truculent,eagerness to fight
trudge,heavily or clumsily
trumpet,make known
truncate,shorten
tremendous, large
tumult,disorderly disturbance
turbid,deficient in clarity
turbulent,disturbance
turgid,embellished
turmoil,"agitation, commotion"
turncoat,switched; traitor
turpitude,baseness
trope,"1. figurative
2. used by many people"
typo,error
tyro,beginner; novice
ubiquitous,everywhere; often observed
unassailable,not to be violated
uncanny,extraordinary or abnormal
uncouth,lacking in refinement
unctuous,flattering
upbeat,"1. a good mood
2. inspire hope"
undergird,strengthen
usher,beginning
underscore,to emphasize
understate,restraint
undue,going beyond a normal
unexceptionable,beyond reproach
unflappable,not easily upset
ungainly,inability in a graceful manner
unimpeachable,unquestionable
unkempt,lacking in order
unlettered,deficient in the knowledge; illiterate
unpretentious,"1. modest
2. free from deceive"
unflagging,not declining in strength
unsung,not celebrated
unruly,difficult to discipline
untenable,unable to be defended
untold,numerous
untoward,"1. not favorable, unpropitious
2. resisting control or discipline"
unwitting,unaware
unwonted,not habitual or ordinary; unusual
upbraid,reproach severely
uphold,support
urbane,polite
usurp,seize power without legal authority
univocal,clearly expressed
vaccinate,produce immunity
vacillate,"1. hesitate
2. oscillate"
vacuous,lack of intelligence
vagary,"erratic, unpredictable"
vague,"1. not clearly expressed
2. lacking definite shape"
valediction,address farewell
valiant,bravery
versed,"1. having information
2. exceptional knowledge"
vanquish,defeat
vapid,lacking interest
vaporize,destroy
variance,lack harmony
variegated,different colors
varnish,conceal unpleasant
valorize,enhance
vaunt,boastfully
veer,change direction
vehement,great depth of feeling
venal,open to corrupt
vendor,sells
veneer,conceal defect
venerate,regard with respect
venial,easily excused
venom,desire to cause pain
veracious,telling the truth
verbatim,exact words
verbose,more than necessary
verdant,green with vegatation
verify,determine accuracy
verisimilar,appearing to be true
vile,"1. unpleasant to look at
2. morally despicable"
vernacular,"1. nonstandard language
2. suitable for speech
"
versatile,different things
verse,"1. familiarize 
2. rhythm lyrical effect"
vertigo,dizzy
verve,vitality
venue,area or space
vestige,smallest trace
vocation,employed
veteran,"1. knowledge through long experience
2. knowledge, experiences"
veto,"forbid, prohibit"
vex,bring agitation
viable,being done
vicarious,substitute for another
vicious,desire to inflict
vicissitude, natural change
victimize,subject to deception
vigilant, alertly watchful
vignette,vivid representation 
vigorous,active strength
vilify,utter slanderous statements
vim,energy
vindicate,"1. free from blame
2. give evidence"
vindictive,seek revenge
virtuoso,"1. masterly skill
2. exceptional knowledge"
virtuous,showing moral excellence
virulent,poisonous
viscid,glutinous
viscous,viscid
visionary,"1. guided by ideals
2. foresight"
vitality,vigor
vitiate,reduce the values
vitriolic,scathing
vituperate,abuse or censure
vivacious,lively
vociferous,vehement outcry
volatile,rapid change
volition,making one's own choices
voluble,ready speech
voluminous,great number
voluptuous,enjoyments luxury
voracious,"1. huge appetite
2. insatiable"
votary,fervently devoted
vouch,give a guarantee
vulgar,crude
vulnerable,open to attack
waddle,tlit the body from side to side
waffle,talk foolishly
waft,float
wag,move to and fro or up and down
wan,poor health
warble,sing with melodic embellishments
wane,decrease
wanting,"1. not present
2. not being up to standards"
warmonger,urges war
warp,alter the meaning
warrant,give official acceptance
wary,caution
wastrel,expends self-indulgently
watershed,turning point
wax,increase
waylay,attack
welter,disorder
wheedle,persuade by flattery
whet,make more acute
winnow,examine closely
whimsical,sudden illogical changes
wholesome,promoting health
wicked,morally bad
wince,shrink back from pain
windbag,talkative
windy,verbosity
winsome,"pleasing and engaging
"
wit,"1. ability to understand
2. intelligence"
withdraw,take back
wither,become sapless
withhold,refrain from giving
wizen,"1. become wrinkled
2. dried up"
wobble,"1. move or proceed unsteadily
2. show uncertainty"
worldly,"1. rather than spiritual
2. experienced 
"
windfall,unexpected gain or advantage
wrangle,"1. differing opinions
2. quarrel"
wretched,"1. poor in quality
2. dejected"
wry,stubborn to wrong
xenophobe,fearful of what is foreign
yoke,become joined
yokel,inhabitant of a rural area
zeal,enthusiastic devotion
zealot,extreme following a political or religious belief
zenith,culminating
zesty,piquant
abreast,knowledge of recent developments
appurtenance,subordinate
acclaim,"1. public acknowledgement or admiration
2. approval"
apostle,actively supports
accord,"1. consistency
2. in harmony
3. grant or give"
accustom,make familiar with
acquire,get as one's own
acquisitive,desirous
adjudicate,settle
adversity,difficulty
affectation,not natural; not genuinely felt
affirm,valid or confirmed
affix,attach physically
affliction,great suffering
agape,eagerly awaiting
agility,"quickness, ease and grace"
agonize,deep sadness
agreeable,"1. pleasing to the mind or senses
2. in harmony"
alienate,make unfriendly
alloy,"1. combining of two or more different things
2. debase by the addition"
ambivalent,opposing feelings
anachronism,"1. a thing or person that belongs to an earlier time
2. an error in chronology"
analogous,common
annex,join
annotate,commentary or explanatory notes
antedate,earlier date
antipathy,aversion; dislike
antiquated,out of style
antithetical,direct and unequivocal opposition
apparition,ghostly figure
applicable,"1. put to use
2. having to do with"
apprehensive,"1. impressed on the mind
2. anxious; fearful"
arable,growing of crops
arbitrary,"1. force one's will on others
2. lacking a definite plan"
arcane,difficult to understand
argument,"1. expression of differing opinions
2. from a premise to a conclusion"
arid,"1. little or no precipitation
2. lack of interest"
array,"1. arrangement
2. arrange or display"
assail,criticize harshly
atrophy,waste away
attest,give evidence
attune,into harmony
august,formal and serious or reserved manner
auspicious,toward a happy outcome
austere,simple
automatic,spontaneously or unconsciously
avowal,declaration
backfire,reverse
backslide,revert to a worse condition
baffle,mental uncertainty
bohemian,protest against or indifference to convention
bash,criticize harshly
beholden,owing gratitude
behoove,"necessary, proper, advantageous"
beige,lacking distinction
bureaucratic,complicated rules; long delays
belligerent,"assertiveness, hostility, combativeness"
beset,"1. cause persistent suffering
2. set upon"
bewitching,attract
blackmail,extortion of money
bluff,"1. direct, brief, potentially rude
2. deceive"
bogus,being such in appearance only
bore,"1. causes boredom
2. make weary"
brandish,shake menacingly
brim,"1. outer margin
2. full often to overflowing"
bumble,"rapidly, inarticulately"
bustle,"1. noisy, energetic
2. move briskly"
calamity,disastrous event
calculated,reckoning or estimating
canny,careful and shrewd
canonize,high status or value
captious,stress faults and raise objections
careen,lurch or swerve
carefree,no worries or troubles
cascade,rushing forth in quantity
cellular,porous
ceremonious,careful attention to set forms
certitude,certain
channel,move to a central point
chaperone,go along with
charisma,charm
cherished,granted special treatment
chivalrous,gracious courtesy and high-minded consideration
chorale,"1. hymn or psalm in church
2. group of singers"
clamor,"loud, inharmonious"
clan,united by a common interest
cleave,"1. adhere
2. divide"
cling,adhere
coarse,"1. not smooth
2. lacking refinement"
cohesive,cohesion or coherence
commiserate,sympathy
compatible,in harmony
compelling,persuade
complacent,excessive or unjustified satisfaction
complementary,supplying each other's
complicate,complex or difficult
comprehend,"1. grasp
2. contain or hold within"
concrete,in fact
condemn,"declare to be reprehensible, wrong, or evil"
conditional,dependent
conflagration,armed violent struggle
conflate,turn into a single mass
conform,"1. bring into harmony
2. obedient; compliant"
conjure,"1. entreat earnestly
2. form a mental picture"
consent,"1. approval
2. approval"
consign,control of another
consternation,paralyzing dismay
contemplate,consider
contempt,unworthy of one's concern or respect
contend,"1. strive or vie in contest
2. state as a fact"
contradict,contrary
contrived,lacking spontaneous quality
convene,bring together in assembly
correlate,mutual or reciprocal relation
counterpart,same function or characteristics
counterproductive,not producing desired goal
courteous,polished manners
coy,tending to avoid people
credit,"1. mental conviction of the truth
2. acknowledgement or admiration"
crow,joy or triumph
damn,morally wrong or evil
dampen,"diminish the feeling, activity or vigor"
dashing,take risks
dated,passed its time of use
deadlock,"1. a state of inaction or neutralization
2. to a deadlock"
debonair,"1. freedom from worries or troubles
2. polished and worldly manners"
decadent,"1. lowered moral character
2. moral decay"
decry,strong disapproval
deflect,turn aside from a straight course
defray,undertake the payment
deign,condescend reluctantly
delegate,"1. representative for another
2. possession or safekeeping of another"
delineate,"describe, portray"
demote,a lower grade
dependable,depended on
deplorable,condemnation or reproach
dichotomy,division into two
dictate,request
discreet,good judgment and restraint
disenchant,free from illusion
dishearten,lose spirit or morale
disjunctive,breaks disunity
disprove,prove to be false
distinctive,"1. not of the same kind
2. serving to identify"
doctrinaire,strongly held opinions
domineer,overbearing control
drab,dullness and monotony
dramatic,striking
dread,fear
duplicate,"1. exactly alike
2. make a copy"
eclectic,from various sources
efficacious,produce a desired effect
elude,"1. avoid adroitly
2. escape the perception"
enamored,intense or excessive love
endeavor,"1. conscientious or concerted effort
2. devote serious and sustained effort"
enthrall,hold the attention
equilibrium,opposing forces are equal
escort,go along with
ethos,code of good conduct
exorcise,get rid of 
explicate,detailed explanation
exterminate,killing off
extrapolate,form an opinion through reasoning
fabulous,"1. in the imagination
2. extremely pleasing"
fad,popular for a short time
fallible,erroneous
fanciful,without regard for reason
favoritism,special favor
featureless,lacking distinguishing characteristics
feisty,aggressiveness
felony,grave crimes
ferocious,"1. bursts of destructive force
2. unfriendly or aggressive"
fervent,great intensity of feeling
figment,made up
fitful,erratic or intermittent
fleeting,for a short time
forage,search
forebode,show signs
foreground,indicate the importance
forfeit,punishment
forsake,renounce
frosty,"1. low temperature
2. lacking in friendliness or warmth"
gawky,inability to move in a graceful manner
germinate,"1. begin to grow
2. come into being"
glacial,"1. extremely cold
2. devoid of warmth"
glide,"smoothly, continuously, effortlessly"
glower,stare with anger
graft,implant surgically
grit,endure pain or hardship
groggy,weak and unsteady
grudge,ill will
grumble,complain
halfhearted,lacking heart
heckle,harass
hierarchical,classified
hobble,hamper the action
humdrum,lacking excitement
humiliate,to a lower position
hypothetical,"1. starting point
2. assumption; speculation"
idiosyncrasy,odd or peculiar habit
idle,"1. not turned to use
2. lazy
3. pass without working"
ill-bred,impolite
illustrious,very distinguished
imperishable,enduring forever
implicit,capable of being understood through unexpressed
impunity,free from punishment
incentive,something that incites a tendency
incumbent,imposed as obligation
indecorous,conflicting with accepted standards
infraction,a failure to uphold the requirements
justify,prove to be just
lag,"1. proceed with slowness
2. lose bodily strength"
lance,penetrate with a pointed object
lax,"1. not rigid
2. failing to give proper care"
license,"1. the approval
2. the right to move freely"
lionize,treat a person as celebrity
ludicrous,meriting derisive laughter
luminous,standing above
lurid,causing revulsion
machination,a crafty action
madcap,"1. one who seeks out dangerous adventures
2. foolishly bold"
magnitude,greatness in significance
malevolent,vicious
malignant,having a desire to cause someone pain
maneuver,guide with adroitness and design
marginal,not of central importance
meditate,focus one's thoughts on
menial,showing submissiveness
meretricious,vulgar
milieu,the physical or social setting
misapprehension,a failure to understand
monarch,one who rules over a people
monopolize,have complete control over
nirvana,a state of utter perfection and happiness
nostalgia,a sentimental yearning for return
notoriety,ill fame
nourish,help the growth
novice,a person new to a field
nullification,the doing away with something by formal action
numb,devoid of emotion
oaf,a stupid person
observant,"1. paying close attentions
2. diligent in obseving a law"
obsolete,no longer useful
onset,the beginning point
ordeal,a severe trial
ostensible,appearing to be true
outgrowth,a condition traceable to a cause
outmoded,no longer usable
override,set aside
overshadow,exceed in importance
overwhelm,cover with a flood
overwrought,"1. being in a state of agitation
2. excessively decorated"
palaver,"1. an exchange of views
2. talk profusely"
palpitation,an expanding and contracting
panacea,a remedy for all ills
peculiarity,a distinguishing characteristic
pedagogical,relating to a teacher or education
peel,take off one's clothes
perceptive,able to sense slight differences
perilous,involving potential loss
perquisite,something given in addition to what is originally expected
petulant,easily irritated
pioneer,"1. one of the first to settle in a country
2. open up an area"
pious,showing devotion to divine worship
pitfall,a pit to capture animals
pivotal,of the greastest possible importance
placid,free from agitation
playful,joking or teasing
plebeian,belonging to low social rank
plush,notably luxurious
poach,cook in a liquid
pointer,a useful suggestion or hint
pragmatic,a practical approach
premeditate,consider beforehand
prerequisite,something that is necessary to an end
prerogative,a special power or privilege
proclaim,declare publicly
project,estimate based on present data or trends
proprietary,privately owned
prototype,an original model
rampant,"1. growing thickly
2. occuring without restraint"
ravenous,having a huge appetite
redeem,to make better
refreshing,having a renewing effect
remnant,something left over
renege,formally reject
replenish,fill again
replicate,make an exact likeness of 
residual,of a residue
restitution,a making good for some injury
resurrect,bring back to life
retentive,having the ability to retain knowledge or information
retrieve,get back again
reverberate,continue to be repeated
rhetorical,full of fancy but meaningless words
rigmarole,confused or meaningless talk
ruthless,having no pity
screen,"1. something that shelters
2. shut off from view"
scrimp,avoid wastes
sectarianism,adherence to prejudices
secular,worldly or temporal
simile,a figure of speech comparing to unlike things
skittish,"1. easily frightened
2. likely to change"
sparing,marked by careful restraint
splutter,speak hastily and incoherently
squeamish,affected with nausea
staunch,steadfast in loyalty
stereotype,a conventional opinion
stigmatize,brand as disgraceful
substitute,"1. a things that takes the place of another
2. take the place of"
succumb,"1. yield to strength
2. be brought to death"
supersede,displace
surly,churlish in mood
surmise,"1. a thought based on scanty evidence
2. form a noion from scanty evidence"
surmount,achieve a victory over
surpass,become better
surrogate,one that takes the place of another
surveillance,close observation
tame,"1. reduced from a state of wildness
2. keep from exceeding"
tangle,seize as if in snare
teeming,covered with great numbers
temporal,of earthly life
tentative,not fully developed
thick-skinned,largely unaffected by the feelings of other people
thrill,"1. a pleasurably intense stimulation
2. cause excitement"
timely,appropriate
trifling,lacking in significance
tycoon,"a person of rank, power, or influence"
tyrant,a brutal ruler
umbrage,being affended
unanimous,having the consent of all
unavailing,producing no results
unremitting,going on without any interruptions
vouchsafe,grant in a gracious manner
wayward,following one's own inclinations
weather,come through safely
willful,obstinately and self-willed
willy-nilly,without order
wilt,feel fatigue and exhaustion
wily,deceptive and cunning
wiretap,tap a telephone in order to get information
wistful,full of yearning or desire
wrest,gain with difficulty
wrongheaded,stubborn in adherence
